,country,published_date,info
0,BELGIUM, - published 07.05.2020,"1. Passengers are not allowed to enter Belgium.
This does not apply to:
- Passengers arriving from an EEA Member States, Switzerland or the United Kingdom.
- Nationals of EEA Member States and Switzerland, returning home.
- British nationals returning home.
- Nationals of Andorra, Monaco, Montenegro, North Macedonia (Rep.), San Marino, Serbia and Vatican City (Holy See) with proof of connection travel to their home country.
- Passengers with a long term residence permit or a long term “D"" visa issued by EEA Member States, Switzerland or the United Kingdom, returning home.
- Family members of nationals of EEA Member States, Switzerland and of British nationals, returning home;
- Diplomats;
- Personnel of international and humanitarian organizations;
- Humanitarian aid workers;
- Military personnel.
2. Passenger flights are only allowed to operate between 7:00 and 21:00.
- This does not apply to humanitarian, repatriation and United Nations flights.
3. Belgium temporarily reintroduced border controls.
"
0,BELIZE, -- published 21.04.2020 ,"Airports in Belize are closed.
"
0,BENIN, --- published 18.03.2020 ,"Passengers are subject to quarantine for 14 days. 
"
0,BERMUDA, -- published 18.04.2020,"Passengers are not allowed to enter Bermuda.
- This does not apply to nationals and residents of Bermuda. 
- This does not apply to passengers with a written permission of the Quarantine Authority of Bermuda.
"
0,BHUTAN, - published 20.04.2020,"1. Visa on arrival is suspended.
2. Passengers with a visa, work permit or other immigration permits issued by Bhutan and airline crew are not allowed to enter Bhutan if they arrive from or have visited or transited through a Coronavirus (COVID-19) affected country.
3. Airline crew are subject to thermal screening on arrival.
"
0,BOLIVIA, -- published 01.05.2020,"Bolivia's borders are closed.
"
0,"BONAIRE, ST. EUSTATIUS AND SABA", - published 16.04.2020,"Passengers arriving from Austria, Belgium, Bulgaria, Canada, China (People's Rep.), Colombia, Croatia, Cyprus, Czechia, Denmark, Dominican Rep., Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom or USA are not allowed to enter Bonaire, St. Eustatius and Saba. 
- This does not apply to medical staff and patients who are transferred in the interest of public health on Bonaire, St. Eustatius and Saba. 
"
0,BOSNIA AND HERZEGOVINA, - published 27.03.2020 ,"Passengers are not allowed to enter Bosnia and Herzegovina.
This does not apply to:
-nationals and residents of Bosnia and Herzegovina
-diplomatic and consular staff accredited in Bosnia and Herzegovina
-civil servants coming for employment
-passengers in need of emergency medical treatment
-cross-border workers
-civilian protection services and teams
-military forces of the NATO and other states participating in the partnership for Peace; and to NATO and EUFOR headquarters in Bosnia and Herzegovina
-heads of state and members of their delegations whose arrival and departure has been announced by the competent authority
-passengers in transit to return to the country of residence
-passengers with a special permit to stay or transit in Bosnia and Herzegovina.
"
0,BOTSWANA, - published 18.04.2020,"1. Passengers arriving from Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland, USA or United Kingdom are not allowed to enter Botswana.
- This does not apply to nationals and residents of Botswana.
2. Nationals and residents of Botswana will be quarantined for 14 days.
3. Passengers can no longer obtain a visa on arrival in Botswana.. 
4. Visas issued to nationals of Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland or USA are invalidated.
5. Visas issued to passengers with a British passport with nationality ""British Citizen"" are invalidated.
"
0,BRAZIL, - published 18.04.2020,"Passengers are not allowed to enter Brazil.
This does not apply to:
- Nationals of Brazil;
- Passengers who reside in Brazil;
- Foreign professionals in a mission in the service of an international body, if it is duly identified;
- Foreign employee accredited to the Brazilian Government;
- Immediate family member of a national of Brazil;
- Passengers with an authorization issued by Brazilian Government;
- Passengers with a National Migration Registry;
- Technical landing to refuel where passengers of restricted nationalities are not disembarking;
- Passengers in international transit if they do not leave the international area of the airport and the country of destination admits their entry.
"
0,BRUNEI DARUSSALAM, -- published 20.04.2020 ,"1. Passengers are not allowed to transit or enter Brunei Darussalam.
- This does not apply to nationals and residents of Brunei Darussalam.
2. All visa exemptions and Visa on Arrival are temporarily suspended.
3. All visa issued to passengers are temporarily suspended.
4. Special consideration is only given by the Brunei Immigration Department which is subject to the affairs of interest to Brunei Darussalam by applying to the Brunei Immigration Department by downloading the form provided on the Department's website at 
 . Passengers with a Special consideration are subject to Coronavirus (COVID-19) testing that has a cost of BND1000.
"
0,BULGARIA, - published 07.05.2020,"1. Passengers not arriving from Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia or Sweden are not allowed to enter Bulgaria. 
- This does not apply to nationals of Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden. 
- This does not apply to family members of nationals of Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden.
- This does not apply to passengers and their families with a permanent or long term residence permit issued by Bulgaria. 
- This does not apply to nationals of Austria, Belgium, France, Germany, Iceland, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Netherlands, Spain and Switzerland and their family members when they transit through Bulgaria to return to their country of residence. 
- This does not apply to passengers with a British passport and their family members when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of Turkey when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of North Macedonia (Rep.) when they transit through Bulgaria to return to their country of residence.
- This does not apply to nationals and residents of Serbia when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of Montenegro when they transit through Bulgaria to return to their country of residence.
- This does not apply to the following passengers:
a. health care professionals, health researchers and elderly care professionals;
b. transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary;
c. diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties;
d. persons traveling for humanitarian reasons; third-country nationals who hold a long-term residence permit in an EU Member State and pass through Bulgaria in order to return to their country of residence and residence.
2. Nationals of Bulgaria arriving from risky countries are requested to observe a 14-day quarantine period.
3. All arriving passenger from Italy at Sofia airport (SOF) must fill out a questionnaire in the presence of a health inspector.
4. All passports and national ID cards issued to nationals of Bulgaria and which have expired on 13 March 2020 or later, are considered valid with a prolongation of 6 months. This is due to the Coronavirus (COVID-19) Pandemic.
"
0,BURKINA FASO, -- published 18.04.2020,"Bobo Dioulasso (BOY) and Ouagadougou (OUA) airports are closed.
"
0,BURUNDI ,-- published 21.04.2020,"Flights to Burundi are suspended.
"
0,CAMBODIA, - published 31.03.2020,"1. All visa exemptions, visas on arrival and e-visas are suspended.
2. All foreigners must:
a. have a medical certificate, issued by competent health authorities of their country no more than 72 hours prior to the date of travel, certifying that they are not tested positive for the Coronavirus (COVID-19); and
b. have proof of insurance policy with minimum medical coverage of fifty thousand US dollars.
- This does not apply to passengers with diplomatic visa (Visa A) or official visa (Visa B) issued by Cambodia.
3. Passengers upon arrival will be subject to a health risk assessment and screened by the government. They will also be subject to a mandatory isolation/quarantine.
4. Passengers arriving from France, Germany, Iran, Italy, Spain or USA are not allowed to enter Cambodia. 
- This does not apply to nationals and residents of Cambodia. 
5. Nationals and residents of Cambodia, diplomats and officials of foreign embassies and international organizations and their family members who have a Diplomatic Visa Type A and Official Visa Type B who live or have been in France, Germany, Iran, Italy, Spain or USA in the past 14 days will be quarantine for 14 days. 
- This does not apply to airline crew.
"
0,CAMEROON, -- published 15.04.2020,"All international flights to Cameroon are suspended.
"
0,CANADA, - published 06.05.2020,"1. Passengers are not allowed to enter Canada.
- This does not apply to nationals of Canada.
- This does not apply to passengers arriving from the USA. They must travel for a non-discretionary or non-optional purpose.
- This does not apply to permanent residents of Canada and their immediate family members.
- This does not apply to diplomats.
- This does not apply to seasonal agricultural workers, fish/seafood workers, caregivers and all other temporary foreign workers.
- This does not apply to international students who held a valid study permit, or had been approved for a study permit, when the travel restrictions took effect on March 18, 2020.
- This does not apply to permanent resident applicants who had been approved for permanent residence before the travel restrictions were announced on March 18, 2020, but who had not yet travelled to Canada.
- This does not apply to immediate family members of nationals of Canada, which include:
a. the spouse or common-law partner of the person;
b. a dependent child of the person or of the person's spouse or common-law partner;
c. a dependent child of a dependent child referred to in paragraph b;
d. the parent or step-parent of the person or of the person's spouse or common-law partner; or
e. the guardian or tutor of the person. (membre de la famille immediate).
- This does not apply to the following passengers:
a. Person registered as an Indian under the Indian Act;
b. Person authorized in writing by a consular officer of the government of Canada to come to Canada to reunite with immediate family members;
c. Person who is exempt from the requirements to obtain a temporary resident visa under paragraph 190 (2)(a) of the Immigration and Refugee Protection Regulations, and their immediate family members;
d. Person who enters Canada at the invitation of the Minister of Health for the purpose of assisting in the COVID-19 response;
e. Person who arrives by means of an aircraft operated by Canadian Forces or the Department of National Defence;
f. Member of the Canadian Forces or a visiting force, as defined in section 2 of the Visiting Forces Act, and their immediate family members;
g. Protected person, under section 95 (2) of the Immigration and Refugee Protection Act;
h. French citizen who resides in Saint-Pierre-et-Miquelon;
i. Person or class of persons that the Chief Public Health Officer, appointed under subsection 6 (1) of the Public Health Agency of Canada Act, determines does not pose a risk of significant harm to public health or who will provide an essential service while in Canada;
j. Person whom the Minister of Foreign Affairs, the Minister of Citizenship and Immigration or the Minister of Public Safety and Emergency Preparedness determines their presence is in the national interest.
2. Passengers with Coronavirus (COVID-19) symptoms are not allowed to board a plane to Canada. Passengers with Coronavirus (COVID-19) symptoms on arrival will be referred to Public Health Agency of Canada.
3. Passengers who have been refused boarding in the past 14 days due to a medical reason related to Coronavirus (COVID-19) are not allowed to enter.
4. Passengers must travel to Canada for essential purposes. Non-essential purposes include tourism, sightseeing, recreation, entertainment, social visits and religious functions.
- This does not apply to nationals of Canada.
- This does not apply to permanent residents of Canada.
- This does not apply to persons registered as an Indian under the Indian Act.
5. Passengers must have a quarantine plan upon arrival and are required to quarantine for a period of 14 days.
6. Passengers who were in the cruise ship 'Diamond Princess' are subject to a mandatory 14-day isolation at a quarantine facility upon arrival in Canada.
"
0,CAPE VERDE, -- published 22.04.2020,"Flights to Cape Verde are suspended.
- This does not apply to special, repatriation and humanitarian flights.
"
0,CAYMAN ISL., -- published 15.04.2020,"Flights to Owen Roberts International (GCM) airport are suspended.
- This does not apply to Cayman Airways domestic flights.
- This does not apply to emergency and Medevac flights. They must obtain a prior approval from the Civil Aviation in Cayman Isl.
"
0,CENTRAL AFRICAN REP., --- published 07.05.2020,"Passengers arriving from a country with local transmission of Coronavirus (COVID-19) must self-quarantine for 21 days upon arrival.
"
0,CHAD, -- published 26.04.2020,"Airports in Chad are closed.
"
0,CHILE, - published 03.05.2020 ,"1. Passengers are not allowed to enter Chile.
This does not apply to:
- nationals and residents of Chile;
- passengers bringing humanitarian help;
- passengers with a diplomatic visa and an official ID issued by the Ministry of Foreign Affairs of Chile;
- passengers with a safe-conduct.
2. Nationals and residents of Chile will be quarantined for 14 days.
"
0,THE MAINLAND OF CHINA ,- published 03.04.2020,"1. The mainland of China has decided to temporarily suspend the entry into the mainland of China by foreign nationals holding visas or residence permits still valid to the time of this announcement, effective from 00:00 local time, 28 March 2020. Entry by foreign nationals with APEC Business Travel Cards will be suspended as well. 
- Policies including port visas, 24/72/144-hour visa-free transit policy, Hainan 30-day visa-free policy, 15-day visa-free policy specified for foreign cruise-group-tour through Shanghai Port, Guangdong 144-hour visa-free policy specified for foreign tour groups from Hong Kong or Macao SAR, and Guangxi 15-day visa-free policy specified for foreign tour groups of ASEAN countries will also be temporarily suspended. Entry with diplomatic, service, courtesy or C visas will not be affected. 
- Foreign nationals coming to the mainland of China for necessary economic, trade, scientific or technological activities or out of emergency humanitarian needs may apply for visas at Chinese embassies or consulates. 
- Entry by foreign nationals with visas issued after this announcement will not be affected.
2. All passengers arriving at PEK will have a PCR test and be quarantined at the designated location in Beijing for 14 days. 
3. Passengers arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo a Nucleic Acid Test (NAT) and a 14-day quarantine in designated places for medical observation.
4. Airline crew members with a layover in Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo Nucleic Acid Test (NAT) inside passenger terminal. They are permitted to self-isolate at hotel temporarily before acquiring the NAT result.
The crew whose Coronavirus (COVID-19) testing result is positive will be isolated by the authorities at the nominated site for further medical treatment. Meanwhile, the carrier will be notified immediately.
If the crew is already away from Shanghai when the positive test result is available, the carrier will be informed by the authorities to take further action if necessary. 
5. Airline crew arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) will be quarantined after they finish their last shift of flight. During their shift breaks, they are required to stay in crew hotels for isolation. 
6. Passengers who live in or have been in France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA in the past 14 days arriving at Guangzhou (CAN) or Shenzhen (SZX) must undergo 14-day quarantine at home or in designated places for medical observation. All passengers arriving at SZX will have a PCR test.
7. All passengers arriving at XMN will be quarantined for medical observation at the designated hotels for 14 days on their own expenses.
- This does not apply to passengers under 18 years old, passengers above 70 years old, pregnant women and passengers suffering from illness. They must apply for permission to undergo a 14-day quarantine at home.
"
0,CHINESE TAIPEI, - published 01.05.2020,"1. Passengers are not allowed to transit Chinese Taipei. 
2. Passengers are not allowed to enter Chinese Taipei.
- This does not apply to passengers with a Chinese Taipei travel document.
- This does not apply to passengers with an Alien Resident Certificate.
- This does not apply to personnel on diplomatic or official business.
- This does not apply to passengers who can prove they are fulfilling commercial and contractual obligations, or passengers requiring special permission. 
- This does not apply to passengers with a visa with ""SPECIAL ENTRY PERMIT FOR COVID-19 OUTBREAK"" stated on remarks. 
3. Passengers allowed to enter must observe a 14-day home quarantine upon arrival.
4. All arriving passengers and crew members must present a completed Health Declaration Form.
"
0,COLOMBIA, -- published 09.04.2020,"Flights to Colombia are suspended.
"
0,COMOROS, -- published 23.03.2020 ,"Flights to Comoros are suspended.
"
0,CONGO (BRAZZAVILLE), -- published 26.03.2020,"Airports in Congo are closed.
"
0,CONGO (DEM. REP.), -- published 22.04.2020,"1. Flights to Congo (Dem. Rep.) are suspended.
- This does not apply to pre-approved repatriation flights.
2. Passengers and airline crew must go through medical screening upon arrival and present a completed Health Sanitary Card provided by Health Authorities.
"
0,COOK ISL., - published 07.05.2020 ,"Passengers and airline crew who have transited or have been in any country except for Cook Isl. and New Zealand in the past 14 days are not allowed to enter Cook Isl.Passengers who have transited or been in any country except for Cook Isl. and New Zealand in the past 14 days are not allowed to enter Cook Isl. 
- This does not apply to Cook Islanders and any immediate family member.
- This does not apply to nationals of New Zealand and any immediate family member.
- This does not apply to passengers who reside in Cook Isl. or New Zealand and any immediate family member.
- This does not apply to nationals and residents of Australia who normally reside in New Zealand, and any immediate family member.
- This does not apply to passengers with a work permit issued by Cook Isl. and any immediate family member.
"
0,COSTA RICA ,-- published 14.04.2020,"1. Passengers are not allowed to enter Costa Rica. 
- This does not apply to nationals of Costa Rica.
- This does not apply to passengers who have left Costa Rica before 26 March 2020 or after 30 April 2020 and have:
a) Permanent residence in Costa Rica; or
b) Temporary residence in Costa Rica; or
c) Special category (Categoria Especial); or
d) Non-resident subcategory Stay (No Residente subcategoria Estancia).
2. Nationals and residents of Costa Rica must be in isolation for 14 days.
"
0,COTE D'IVOIRE, -- published 25.03.2020,"Cote d'Ivoire borders are closed.
"
0,CROATIA, - published 07.05.2020 ,"1. Passengers are not allowed to enter Croatia. 
- This does not apply to nationals of Croatia and their family members.
- This does not apply to passengers with a long-term resident permit (temporary or permanent) issued by Croatia.
- This does not apply to nationals of the EU, Schengen Member States and the Schengen Associated States or passengers from the United Kingdom and their family members on their way home.
- This does not apply to passengers with a long-term resident permit or a long-term visa issued by the EU, Schengen Member States and the Schengen Associated States or the United Kingdom and the persons deriving their right to reside from other EU Directives or national law or who hold national long-term visas on their way home.
- This does not apply to healthcare professionals, healthcare researchers and collaborators, experts in care for the elderly, and persons requiring urgent medical treatment. 
- This does not apply to cross-border workers.
- This does not apply to diplomats, police officers in the performance of their activities, Civil Defence services and teams, international organizations staff and International military personnel in carrying out their functions.
- This does not apply to passengers in transit (including passengers in transit by air).
2. All passports and national ID cards issued to nationals of Croatia and which have expired on 11 March 2020 or later, are considered valid. This is due to the Coronavirus (COVID-19) pandemic.
"
0,CUBA, -- published 01.04.2020,"Flights to Cuba are suspended.
- This does not apply to humanitarian flights.
"
0,CURACAO, - published 08.05.2020,"Passengers are not allowed to transit or enter Curacao.
This does not apply to:
- Residents of Curacao approved by the Government of Curacao. These passengers will have to show a verification letter from the Government of Curacao that they are allowed to travel to Curacao.
- Medical specialist and other medical personnel if authorized by the Government of Curacao. These passengers must have a verification letter from the government of Curacao proving they are allowed to enter Curacao.
- Persons deemed necessary or specifically approved by the Government of Curacao. These passengers must have a verification letter from the government of Curacao proving they are allowed to enter Curacao.
- Passengers in transit who remain on board of the same aircraft or do wing to wing transit from one aircraft to another without entering the transit terminal. A minimum of 24 hours prior notice is required. 
"
0,CYPRUS ,-- published 06.05.2020,"1. Flights to Cyprus are suspended.
- This does not apply to repatriation flights or empty aircraft arriving to transport persons wishing to leave Cyprus. 
2. Nationals and residents of Cyprus are subject to a mandatory 14-day quarantine. 
"
